trials,multiplications,threads,batchsize,time
70,20,1,1,1553323871
70,20,2,1,1578525140
70,20,4,1,1595741942
70,20,8,1,1602434904
70,30,1,1,1574485412
70,30,2,1,1569234810
70,30,4,1,1612728813
70,30,8,1,1638665178
70,40,1,1,1593630311
70,40,2,1,1647595786
70,40,4,1,1645113803
70,40,8,1,1667607177
70,50,1,1,1611722049
70,50,2,1,1634831846
70,50,4,1,1674702992
70,50,8,1,1706425062
70,60,1,1,1658486683
70,60,2,1,1695532072
70,60,4,1,1714089913
70,60,8,1,1729694517
70,70,1,1,1652212284
70,70,2,1,1654073997
70,70,4,1,1733547676
70,70,8,1,1816288618
70,80,1,1,1665699277
70,80,2,1,1673595550
70,80,4,1,1796394267
70,80,8,1,1784404996
70,90,1,1,1699050364
70,90,2,1,1711785251
70,90,4,1,1826706119
70,90,8,1,1845196923
70,100,1,1,1678548166
70,100,2,1,1755032252
70,100,4,1,1840782394
70,100,8,1,1876725641
80,10,1,1,1557919539
80,10,2,1,1581419045
80,10,4,1,1584248238
80,10,8,1,1564347005
80,20,1,1,1584655189
80,20,2,1,1565814921
80,20,4,1,1595786135
80,20,8,1,1617508635
80,30,1,1,1606210558
80,30,2,1,1608679788
80,30,4,1,1633678839
80,30,8,1,1653582618
80,40,1,1,1613711702
80,40,2,1,1659253246
80,40,4,1,1665373727
80,40,8,1,1698165408
80,50,1,1,1623548095
80,50,2,1,1653413842
80,50,4,1,1713737412
80,50,8,1,1747095503
80,60,1,1,1647857847
80,60,2,1,1676145420
80,60,4,1,1723317466
80,60,8,1,1780882486
80,70,1,1,1658692277
80,70,2,1,1753424975
80,70,4,1,1764169537
80,70,8,1,1842390162
80,80,1,1,1707524509
80,80,2,1,1701959407
80,80,4,1,1842422543
80,80,8,1,1909808006
80,90,1,1,1746428635
80,90,2,1,1779569780
80,90,4,1,1833225456
80,90,8,1,1895529411
80,100,1,1,1741078876
80,100,2,1,1885301606
80,100,4,1,1892549006
80,100,8,1,1935165017
90,10,1,1,1544387752
90,10,2,1,1567409894
90,10,4,1,1588428499
90,10,8,1,1593960088
90,20,1,1,1576312652
90,20,2,1,1575893416
90,20,4,1,1672370368
90,20,8,1,1623476641
90,30,1,1,1596059216
90,30,2,1,1607442313
90,30,4,1,1649504047
90,30,8,1,1670495961
90,40,1,1,1612137427
90,40,2,1,1646125436
90,40,4,1,1708990451
90,40,8,1,1723455615
90,50,1,1,1637698139
90,50,2,1,1662480735
90,50,4,1,1730520192
90,50,8,1,1759717217
90,60,1,1,1659394581
90,60,2,1,1679423364
90,60,4,1,1787971298
90,60,8,1,1795532715
90,70,1,1,1680761026
90,70,2,1,1697516304
90,70,4,1,1830408836
90,70,8,1,1869329083
90,80,1,1,1720511296
90,80,2,1,1793894961
90,80,4,1,1836777521
90,80,8,1,1870152934
90,90,1,1,1726436582
90,90,2,1,1811830808
90,90,4,1,1894971367
90,90,8,1,1955089193
90,100,1,1,1734367820
90,100,2,1,1807833990
90,100,4,1,1885123974
90,100,8,1,1996562527
100,10,1,1,1564992302
100,10,2,1,1583498675
100,10,4,1,1574706847
100,10,8,1,1568805927
100,20,1,1,1559435977
100,20,2,1,1594712275
100,20,4,1,1614176712
100,20,8,1,1663271595
100,30,1,1,1645073648
100,30,2,1,1693319512
100,30,4,1,1626000634
100,30,8,1,1630183189
100,40,1,1,1557254355
100,40,2,1,1644645957
100,40,4,1,1673239143
100,40,8,1,1691924512
100,50,1,1,1613514483
100,50,2,1,1667951039
100,50,4,1,1712421070
100,50,8,1,1720292987
100,60,1,1,1611084216
100,60,2,1,1662074044
100,60,4,1,1752205574
100,60,8,1,1978172501
100,70,1,1,1727718330
100,70,2,1,1770330845
100,70,4,1,1811114788
100,70,8,1,1811085914
100,80,1,1,1661885792
100,80,2,1,1723627727
100,80,4,1,1859828267
100,80,8,1,1933249713
100,90,1,1,1763792031
100,90,2,1,1747207853
100,90,4,1,1946905482
100,90,8,1,1973661461
100,100,1,1,1736510299
100,100,2,1,1882176980
100,100,4,1,2005794789
100,100,8,1,2008114149
10,10,1,1,1404289195
10,10,1,8,1457121032
10,10,1,32,1427247695
10,10,1,64,1440181312
10,20,1,1,1491427029
10,20,1,8,1466839309
10,20,1,32,1434617014
10,20,1,64,1402747268
10,30,1,1,1422230380
10,30,1,8,1436835508
10,30,1,32,1427303920
10,30,1,64,1437196754
10,40,1,1,1503555580
10,40,1,8,1533279156
10,40,1,32,1436567105
10,40,1,64,1393783303
10,50,1,1,1445410054
10,50,1,8,1476384291
10,50,1,32,1453195181
10,50,1,64,1424409491
10,60,1,1,1497970802
10,60,1,8,1414714487
10,60,1,32,1474683387
10,60,1,64,1438103802
10,70,1,1,1471601086
10,70,1,8,1607926641
10,70,1,32,1633519594
10,70,1,64,1557130768
10,80,1,1,1563534889
10,80,1,8,1531112409
10,80,1,32,1487928007
10,80,1,64,1581567555
10,90,1,1,1556116628
10,90,1,8,1513104279
10,90,1,32,1504704932
10,90,1,64,1484768010
10,100,1,1,1559301973
10,100,1,8,1494666555
10,100,1,32,1509973727
10,100,1,64,1497275150
20,10,1,1,1501951025
20,10,1,8,1497651804
20,10,1,32,1547464197
20,10,1,64,1518187457
20,20,1,1,1520289974
20,20,1,8,1512075673
20,20,1,32,1514056101
20,20,1,64,1503607386
20,30,1,1,1528082004
20,30,1,8,1521541859
20,30,1,32,1492742081
20,30,1,64,1496199396
20,40,1,1,1538700718
20,40,1,8,1500084680
20,40,1,32,1537714190
20,40,1,64,1534314775
20,50,1,1,1539457284
20,50,1,8,1518316429
20,50,1,32,1493107355
20,50,1,64,1502888260
20,60,1,1,1536605023
20,60,1,8,1493639221
20,60,1,32,1502314887
20,60,1,64,1495177121
20,70,1,1,1540483997
20,70,1,8,1559379638
20,70,1,32,1589021332
20,70,1,64,1589639589
20,80,1,1,1571053528
20,80,1,8,1586340132
20,80,1,32,1570518416
20,80,1,64,1485726775
20,90,1,1,1574355771
20,90,1,8,1503433711
20,90,1,32,1491769811
20,90,1,64,1515447196
20,100,1,1,1572867745
20,100,1,8,1540934040
20,100,1,32,1505851919
20,100,1,64,1508711333
30,10,1,1,1547622925
30,10,1,8,1453905531
30,10,1,32,1441084714
30,10,1,64,1407637395
30,20,1,1,1459642894
30,20,1,8,1456632097
30,20,1,32,1503651348
30,20,1,64,1465797128
30,30,1,1,1502916102
30,30,1,8,1470845401
30,30,1,32,1455424235
30,30,1,64,1448353525
30,40,1,1,1521228903
30,40,1,8,1502288787
30,40,1,32,1431243357
30,40,1,64,1405066952
30,50,1,1,1630120339
30,50,1,8,1532427571
30,50,1,32,1473922342
30,50,1,64,1519898541
30,60,1,1,1488314271
30,60,1,8,1439203402
30,60,1,32,1443031750
30,60,1,64,1421976915
30,70,1,1,1507452366
30,70,1,8,1459565819
30,70,1,32,1451768049
30,70,1,64,1464759746
30,80,1,1,1631842584
30,80,1,8,1515167232
30,80,1,32,1490377584
30,80,1,64,1467188303
30,90,1,1,1550705957
30,90,1,8,1521481666
30,90,1,32,1490241619
30,90,1,64,1464663815
30,100,1,1,1557605316
30,100,1,8,1477773062
30,100,1,32,1478942983
30,100,1,64,1519036728
40,10,1,1,1477197665
40,10,1,8,1464568657
40,10,1,32,1450266788
40,10,1,64,1475036799
40,20,1,1,1493201491
40,20,1,8,1479233878
40,20,1,32,1498638472
40,20,1,64,1469383744
