,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
1092,808,688,8,3.308143218,numpy,1,555904
1093,44,140,2,0.134129994,numpy,1,6160
1094,303,176,2,0.398943011,numpy,1,53328
1095,320,745,4,1.47678527,numpy,1,238400
1096,863,676,8,3.40009226,numpy,1,583388
1097,212,617,4,0.886817694,numpy,1,130804
1098,860,55,2,0.371582986,numpy,1,47300
1099,27,295,1,0.13755108,numpy,1,7965
1100,301,753,2,1.366020711,numpy,1,226653
1101,298,132,2,0.32373342,numpy,1,39336
1102,204,111,2,0.22964384,numpy,1,22644
1103,628,629,2,2.347349813,numpy,1,395012
1104,374,199,1,0.50642349,numpy,1,74426
1105,215,127,1,0.247556267,numpy,1,27305
1106,974,898,1,5.040630206,numpy,1,874652
1107,798,446,4,2.111635638,numpy,1,355908
1108,129,738,1,0.631089336,numpy,1,95202
1109,432,431,4,1.196538839,numpy,1,186192
1110,557,154,4,0.634006277,numpy,1,85778
1111,194,816,8,1.073561144,numpy,1,158304
1112,517,172,4,0.624675488,numpy,1,88924
1113,655,636,8,2.473038033,numpy,1,416580
1114,200,845,1,1.046007817,numpy,1,169000
1115,568,812,1,2.669414939,numpy,1,461216
1116,162,636,1,0.672658965,numpy,1,103032
1117,624,820,1,3.024118113,numpy,1,511680
