trials,multiplications,threads,time
800,500,1,2414305953
800,500,2,2569058221
800,500,4,2425841747
800,500,8,2635266826
800,600,1,2950201325
800,600,2,2983754163
800,600,4,2947950633
800,600,8,2982489114
800,700,1,3478175160
800,700,2,3381222656
800,700,4,3378017897
800,700,8,3546037170
800,800,1,3888150435
800,800,2,3963112154
800,800,4,3913727071
800,800,8,3970362295
800,900,1,4417258061
800,900,2,4399439326
800,900,4,4357459386
800,900,8,4417193500
800,1000,1,4911884102
800,1000,2,4810741214
800,1000,4,4825029530
800,1000,8,4901950017
900,100,1,614553301
900,100,2,695615730
900,100,4,651438164
900,100,8,720013980
900,200,1,1109633121
900,200,2,1193485864
900,200,4,1205866569
900,200,8,1241549783
900,300,1,1726719202
900,300,2,1671109668
900,300,4,1711649444
900,300,8,1764390248
900,400,1,2232351165
900,400,2,2270382676
900,400,4,2246939543
900,400,8,2349769218
900,500,1,2732667147
900,500,2,2831276572
900,500,4,2833032419
900,500,8,2786428192
900,600,1,3282601399
900,600,2,3318415228
900,600,4,3279022780
900,600,8,3246035111
900,700,1,3838627244
900,700,2,3930877785
900,700,4,3928775801
900,700,8,3941368052
900,800,1,4368380649
900,800,2,4538931700
900,800,4,4509439524
900,800,8,4426245765
900,900,1,4921986171
900,900,2,4853426146
900,900,4,4975263240
900,900,8,4946881523
900,1000,1,5372992302
900,1000,2,5523604120
900,1000,4,5382810521
900,1000,8,5563982623
1000,100,1,659921314
1000,100,2,701783676
1000,100,4,761421210
1000,100,8,701258843
1000,200,1,1296123228
1000,200,2,1294126751
1000,200,4,1420684412
1000,200,8,1358681680
1000,300,1,1855469087
1000,300,2,1879130649
1000,300,4,1855983931
1000,300,8,1886070719
1000,400,1,2573152115
1000,400,2,2483179306
1000,400,4,2472628255
1000,400,8,2561320988
1000,500,1,3089227275
1000,500,2,3151314326
1000,500,4,3074016162
1000,500,8,3082640205
1000,600,1,3624196996
1000,600,2,3684153006
1000,600,4,3649602852
1000,600,8,3697954370
1000,700,1,4236469106
1000,700,2,4205492190
1000,700,4,4265448612
1000,700,8,4347946558
1000,800,1,4860898813
1000,800,2,4789543987
1000,800,4,4850002647
1000,800,8,4822433922
1000,900,1,5468318942
1000,900,2,5452252727
1000,900,4,5475343180
1000,900,8,5461461796
1000,1000,1,6049905002
1000,1000,2,6062874930
1000,1000,4,5939689551
1000,1000,8,6180181383
1000,1000,1,6297205845
1000,2000,1,16488877714
1000,3000,1,24659186842
1000,4000,1,38245960313
1000,5000,1,44028621914
1000,6000,1,49061699167
1000,7000,1,60486063581
1000,8000,1,67407475361
1000,9000,1,75169675963
1000,10000,1,83195657212
2000,1000,1,16758642305
2000,2000,1,33940155122
2000,3000,1,49056202859
2000,4000,1,66844862315
2000,5000,1,80824259570
2000,6000,1,96240319361
2000,7000,1,119722987214
2000,8000,1,96663381155
2000,9000,1,105226636942
2000,10000,1,140686906178
3000,1000,1,20032530514
3000,2000,1,41660440910
3000,3000,1,84363738336
3000,4000,1,109124451869
3000,5000,1,140986086928
3000,6000,1,189017614369
3000,7000,1,205979519325
3000,8000,1,173308800085
3000,9000,1,223186529402
3000,10000,1,240263277209
4000,1000,1,28628367082
4000,2000,1,85601561525
4000,3000,1,174965927105
4000,4000,1,133809580900
4000,5000,1,158068224931
4000,6000,1,192781109298
4000,7000,1,238313051846
4000,8000,1,250924576540
4000,9000,1,298268469742
4000,10000,1,281615557535
5000,1000,1,35037329622
5000,2000,1,58942699875
5000,3000,1,88374230226
5000,4000,1,117779747339
5000,5000,1,147231639256
5000,6000,1,176629946635
5000,7000,1,205525384195
5000,8000,1,234658454379
5000,9000,1,262548147164
5000,10000,1,292782031113
6000,1000,1,35671603709
6000,2000,1,70412736509
6000,3000,1,105567393228
6000,4000,1,139828589478
6000,5000,1,174998755974
6000,6000,1,208774069110
6000,7000,1,245475951817
6000,8000,1,282004626876
6000,9000,1,311206973973
6000,10000,1,349703200668
7000,1000,1,41435312300
7000,2000,1,81351741741
7000,3000,1,123479884029
7000,4000,1,162870990543
7000,5000,1,205609427860
7000,6000,1,245236365191
7000,7000,1,284913331975
7000,8000,1,325588230703
7000,9000,1,367455326627
7000,10000,1,409783964304
8000,1000,1,47087828820
8000,2000,1,94592564913
8000,3000,1,141403302867
8000,4000,1,188437890189
8000,5000,1,235100582485
8000,6000,1,283222396310
8000,7000,1,329126170707
8000,8000,1,375953689597
8000,9000,1,418963417228
8000,10000,1,466905470518
9000,1000,1,54021136003
9000,2000,1,105334361057
9000,3000,1,159356169774
9000,4000,1,209682964376
9000,5000,1,264135859552
9000,6000,1,317123648987
9000,7000,1,368035518153
9000,8000,1,424772718526
9000,9000,1,472929042441
9000,10000,1,526586105924
10000,1000,1,58617079714
10000,2000,1,117110637554
10000,3000,1,176306380906
10000,4000,1,231859689483
10000,5000,1,293769476924
10000,6000,1,383035186263
10000,7000,1,408618589994
10000,8000,1,465878887282
10000,9000,1,521480778204
10000,10000,1,582054008584
